"District","FIPS","Year","Incident Type","Measure Type","Variable","Value","R#","Region"
"Redding School District",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Redding School District",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Redding School District",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Redding School District",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Redding School District",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Redding School District",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",6,5,"Western"
"Redding School District",NA,"2016-2017","Bullying","Number","Total Incidents",6,5,"Western"
"Regional School District 01",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 01",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 01",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 01",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 01",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 01",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 01",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 01",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 01",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 01",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 04",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Regional School District 04",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Regional School District 04",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Regional School District 04",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Regional School District 04",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Regional School District 04",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Regional School District 04",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 04",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Regional School District 04",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,3,"Eastern"
"Regional School District 04",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,3,"Eastern"
"Regional School District 05",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Regional School District 05",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Regional School District 05",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Regional School District 05",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Regional School District 05",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Regional School District 05",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Regional School District 05",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,2,"South Central"
"Regional School District 05",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,2,"South Central"
"Regional School District 05",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,2,"South Central"
"Regional School District 05",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,2,"South Central"
"Regional School District 06",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 06",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 06",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 06",NA,"2013-2014","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 06",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",6,5,"Western"
"Regional School District 06",NA,"2014-2015","Bullying","Number","Total Incidents",6,5,"Western"
"Regional School District 06",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",18,5,"Western"
"Regional School District 06",NA,"2015-2016","Bullying","Number","Total Incidents",22,5,"Western"
"Regional School District 06",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",9,5,"Western"
"Regional School District 06",NA,"2016-2017","Bullying","Number","Total Incidents",12,5,"Western"
"Regional School District 07",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 07",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 07",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 07",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 07",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 07",NA,"2014-2015","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 07",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 07",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 07",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 07",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 08",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Regional School District 08",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Regional School District 08",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Regional School District 08",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Regional School District 08",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Regional School District 08",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Regional School District 08",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666,4,"North Central"
"Regional School District 08",NA,"2015-2016","Bullying","Number","Total Incidents",-6666,4,"North Central"
"Regional School District 08",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,4,"North Central"
"Regional School District 08",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,4,"North Central"
"Regional School District 09",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 09",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 09",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 09",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 09",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 09",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 09",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 09",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 09",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 09",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 10",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Regional School District 10",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,6,"Central"
"Regional School District 10",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",6,6,"Central"
"Regional School District 10",NA,"2013-2014","Bullying","Number","Total Incidents",6,6,"Central"
"Regional School District 10",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Regional School District 10",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,6,"Central"
"Regional School District 10",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Regional School District 10",NA,"2015-2016","Bullying","Number","Total Incidents",-9999,6,"Central"
"Regional School District 10",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,6,"Central"
"Regional School District 10",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,6,"Central"
"Regional School District 11",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 11",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Regional School District 11",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",8,3,"Eastern"
"Regional School District 11",NA,"2013-2014","Bullying","Number","Total Incidents",9,3,"Eastern"
"Regional School District 11",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 11",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Regional School District 11",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 11",NA,"2015-2016","Bullying","Number","Total Incidents",6,3,"Eastern"
"Regional School District 11",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 11",NA,"2016-2017","Bullying","Number","Total Incidents",-9999,3,"Eastern"
"Regional School District 12",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 12",NA,"2012-2013","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 12",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 12",NA,"2013-2014","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 12",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999,5,"Western"
"Regional School District 12",NA,"2014-2015","Bullying","Number","Total Incidents",-9999,5,"Western"
"Regional School District 12",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",6,5,"Western"
"Regional School District 12",NA,"2015-2016","Bullying","Number","Total Incidents",6,5,"Western"
"Regional School District 12",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666,5,"Western"
"Regional School District 12",NA,"2016-2017","Bullying","Number","Total Incidents",-6666,5,"Western"
"Regional School District 13",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999,3,"Eastern"
"Regional School District 13",NA,"2012-2013","Bullying","Number","Total Incidents",-9999,3,"Eastern"
