"District","FIPS","Year","Incident Type","Measure Type","Variable","Value"
"Regional School District 07",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 07",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 08",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 08",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 08",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 08",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 08",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 08",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 08",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 08",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Regional School District 08",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 08",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 09",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 09",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 09",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 09",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 09",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 09",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 09",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 09",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 09",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 09",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 10",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 10",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 10",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",6
"Regional School District 10",NA,"2013-2014","Bullying","Number","Total Incidents",6
"Regional School District 10",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 10",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 10",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 10",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 10",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 10",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 11",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 11",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 11",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",8
"Regional School District 11",NA,"2013-2014","Bullying","Number","Total Incidents",9
"Regional School District 11",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 11",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 11",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 11",NA,"2015-2016","Bullying","Number","Total Incidents",6
"Regional School District 11",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 11",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 12",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 12",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Regional School District 12",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 12",NA,"2013-2014","Bullying","Number","Total Incidents",-6666
"Regional School District 12",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 12",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 12",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",6
"Regional School District 12",NA,"2015-2016","Bullying","Number","Total Incidents",6
"Regional School District 12",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 12",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 13",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 13",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 13",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 13",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 13",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 13",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 13",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 13",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 13",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 13",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 14",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 14",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Regional School District 14",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 14",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 14",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 14",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 14",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 14",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 14",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 14",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 15",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 15",NA,"2012-2013","Bullying","Number","Total Incidents",-6666
"Regional School District 15",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 15",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 15",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 15",NA,"2014-2015","Bullying","Number","Total Incidents",-9999
"Regional School District 15",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 15",NA,"2015-2016","Bullying","Number","Total Incidents",6
"Regional School District 15",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 15",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 16",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 16",NA,"2012-2013","Bullying","Number","Total Incidents",-9999
"Regional School District 16",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 16",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 16",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 16",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 16",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 16",NA,"2015-2016","Bullying","Number","Total Incidents",-9999
"Regional School District 16",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 16",NA,"2016-2017","Bullying","Number","Total Incidents",-9999
"Regional School District 17",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",13
"Regional School District 17",NA,"2012-2013","Bullying","Number","Total Incidents",17
"Regional School District 17",NA,"2013-2014","Bullying","Number","Students with at least 1 incident",-9999
"Regional School District 17",NA,"2013-2014","Bullying","Number","Total Incidents",-9999
"Regional School District 17",NA,"2014-2015","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 17",NA,"2014-2015","Bullying","Number","Total Incidents",-6666
"Regional School District 17",NA,"2015-2016","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 17",NA,"2015-2016","Bullying","Number","Total Incidents",-6666
"Regional School District 17",NA,"2016-2017","Bullying","Number","Students with at least 1 incident",-6666
"Regional School District 17",NA,"2016-2017","Bullying","Number","Total Incidents",-6666
"Regional School District 18",NA,"2012-2013","Bullying","Number","Students with at least 1 incident",-9999
